k_user k_attacker P_success_max thresholds_opt FARs_opt FRRs_opt product_FRR_user product_1_minus_FAR_attacker P_user_success P_attacker_rejected P_attacker_success mean_user_attempts_given_success
9 6 0.9999999999 29.995829,29.995829,29.995829,29.995829,29.995788,29.995752,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5920245665,0.5920245665,0.5920245649,0.5920245668,0.5920241594,0.5920238042,0.0012404561,0.0012404561,0.0012404561 0.0000000001 1.0000000000 0.9999999999 1.0000000000 0.0000000000 2.3887008777
10 6 1.0000000000 29.957244,29.957244,29.957217,29.957243,29.957244,29.957244,1.250000,1.250000,1.250000,1.250000 0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000 0.5916448492,0.5916448492,0.5916445806,0.5916448360,0.5916448477,0.5916448481,0.0012404561,0.0012404561,0.0012404561,0.0012404561 0.0000000000 1.0000000000 1.0000000000 1.0000000000 0.0000000000 2.3867591887
1 7 0.6093306371 11.898096,36.557729,31.830799,32.508134,66.267257,31.481223,32.987196 0.1661759892,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.2692335202,0.6594384498,0.6081965319,0.6148226384,0.9545986402,0.6051210824,0.6200574279 0.2692335202 0.8338240108 0.7307664798 0.8338240108 0.1661759892 1.0000000000
2 7 0.7719910760 18.050000,18.050000,48.130688,59.201799,59.978988,45.159744,42.190913 0.0303914319,0.0303914337,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4229135530,0.4229135494,0.8000256211,0.9092955592,0.9137005105,0.7660908202,0.7219595481 0.1788558718 0.9401407736 0.8211441282 0.9401407736 0.0598592264 1.2972166186
3 7 0.8621777858 20.550000,20.550000,20.550000,66.357202,58.041468,46.755824,68.901614 0.0114608018,0.0114608011,0.0114608000,0.0000000000,0.0000000000,0.0000000000,0.0000000000 0.4754633045,0.4754633071,0.4754633113,0.9551242015,0.9043186891,0.7843980236,0.9650314548 0.1074857823 0.9660101416 0.8925142177 0.9660101416 0.0339898584 1.5451533268
4 7 0.9135716039 22.250000,22.250000,22.250000,22.250000,60.229165,42.572390,38.986925 0.0053551339,0.0053551352,0.0053551337,0.0053551338,0.0000000000,0.0000000000,0.0000000000 0.5079949526,0.5079949438,0.5079949545,0.5079949533,0.9154570795,0.7267532348,0.6881664182 0.0665943805 0.9787509148 0.9334056195 0.9787509148 0.0212490852 1.7471170801
5 7 0.9436796883 23.350000,23.349998,23.349999,23.349999,23.349999,32.803247,56.382089 0.0033882680,0.0033882705,0.0033882690,0.0033882688,0.0033882686,0.0000000000,0.0000000000 0.5257495155,0.5257494836,0.5257495022,0.5257495048,0.5257495071,0.6179937711,0.8923222381 0.0401693082 0.9831730704 0.9598306918 0.9831730704 0.0168269296 1.8993382593
6 7 0.9630459723 27.750006,27.750006,27.750006,27.750006,27.750005,27.750005,30.056277 0.0005956911,0.0005956911,0.0005956912,0.0005956912,0.0005956913,0.0005956913,0.0000000000 0.5677856928,0.5677856928,0.5677856916,0.5677856918,0.5677856898,0.5677856894,0.5926183864 0.0335047717 0.9964311712 0.9664952283 0.9964311712 0.0035688288 2.1056695048
7 7 0.9779031294 28.550000,28.550000,28.550000,28.550000,28.550000,28.550000,28.550000 0.0001456026,0.0001456026,0.0001456026,0.0001456026,0.0001456026,0.0001456026,0.0001456026 0.5762495286,0.5762495286,0.5762495286,0.5762495286,0.5762495286,0.5762495286,0.5762495286 0.0210995932 0.9989812269 0.9789004068 0.9989812269 0.0010187731 2.2089987074
8 7 0.9999692630 29.650009,29.650009,29.650009,29.650009,29.650010,29.650009,29.650010,1.250000 0.0000000577,0.0000000577,0.0000000577,0.0000000577,0.0000000577,0.0000000577,0.0000000577,1.0000000000 0.5885221394,0.5885221394,0.5885221447,0.5885221488,0.5885221502,0.5885221445,0.5885221504,0.0012404561 0.0000303334 0.9999995963 0.9999696666 0.9999995963 0.0000004037 2.3951195477
