T FAR_uniform FRR_uniform FAR_quadratic FRR_quadratic
51.700000 0.000000 0.517436 0.000000 0.646996
51.800000 0.000000 0.518462 0.000000 0.648217
51.900000 0.000000 0.519487 0.000000 0.649436
52.000000 0.000000 0.520513 0.000000 0.650655
52.100000 0.000000 0.521538 0.000000 0.651873
52.200000 0.000000 0.522564 0.000000 0.653090
52.300000 0.000000 0.523590 0.000000 0.654307
52.400000 0.000000 0.524615 0.000000 0.655522
52.500000 0.000000 0.525641 0.000000 0.656736
52.600000 0.000000 0.526667 0.000000 0.657950
52.700000 0.000000 0.527692 0.000000 0.659163
52.800000 0.000000 0.528718 0.000000 0.660374
52.900000 0.000000 0.529744 0.000000 0.661585
53.000000 0.000000 0.530769 0.000000 0.662795
53.100000 0.000000 0.531795 0.000000 0.664003
53.200000 0.000000 0.532821 0.000000 0.665211
53.300000 0.000000 0.533846 0.000000 0.666418
53.400000 0.000000 0.534872 0.000000 0.667624
53.500000 0.000000 0.535897 0.000000 0.668829
53.600000 0.000000 0.536923 0.000000 0.670033
53.700000 0.000000 0.537949 0.000000 0.671236
53.800000 0.000000 0.538974 0.000000 0.672438
53.900000 0.000000 0.540000 0.000000 0.673639
54.000000 0.000000 0.541026 0.000000 0.674839
54.100000 0.000000 0.542051 0.000000 0.676038
54.200000 0.000000 0.543077 0.000000 0.677236
54.300000 0.000000 0.544103 0.000000 0.678433
54.400000 0.000000 0.545128 0.000000 0.679628
54.500000 0.000000 0.546154 0.000000 0.680823
54.600000 0.000000 0.547179 0.000000 0.682017
54.700000 0.000000 0.548205 0.000000 0.683209
54.800000 0.000000 0.549231 0.000000 0.684401
54.900000 0.000000 0.550256 0.000000 0.685591
55.000000 0.000000 0.551282 0.000000 0.686781
55.100000 0.000000 0.552308 0.000000 0.687969
55.200000 0.000000 0.553333 0.000000 0.689156
