family,P_safe,P_leak,P_loss,P_theft,max_AND,max_OR,eer_AND,eer_OR,best_kind,best_max,eer_of_maximal_config,best_threshold,failure_improvement_ratio
decrease_loss,0.8,0.05,0.1,0.05,0.7993340469872345,0.8447265019527358,0.6528329828956038,0.6831120410014003,OR,0.8447265019527358,0.6831120410014003,22.65000000000002,0.5100050549792258
decrease_loss,0.81,0.05,0.09,0.05,0.8092338291185275,0.8498750698233037,0.6606149069554764,0.6848381534401136,OR,0.8498750698233037,0.6848381534401136,22.85000000000002,0.5236576641006264
decrease_loss,0.82,0.05,0.08,0.05,0.8191345926292087,0.8550585417994192,0.6683968310153489,0.6865642658788268,OR,0.8550585417994192,0.6865642658788268,23.05000000000002,0.5375720046504113
decrease_loss,0.83,0.05,0.07,0.05,0.829036026794726,0.8602738093588307,0.6761787550752214,0.68829037831754,OR,0.8602738093588307,0.68829037831754,23.25000000000002,0.5517424521996019
decrease_loss,0.84,0.05,0.06,0.05,0.8389580168621542,0.8655187718054633,0.683960679135094,0.6900164907562533,OR,0.8655187718054633,0.6900164907562533,23.45000000000002,0.5661665082680538
decrease_loss,0.85,0.05,0.05,0.05,0.8489456123009894,0.8710967969892035,0.6917426031949667,0.6917426031949666,OR,0.8710967969892035,0.6917426031949666,28.050000000000026,0.5818325712640557
decrease_loss,0.86,0.05,0.04,0.05,0.8589332077398246,0.8768258420624537,0.6995245272548393,0.6934687156336798,OR,0.8768258420624537,0.6934687156336798,28.450000000000024,0.5981677426753381
decrease_loss,0.87,0.05,0.03,0.05,0.8689208031786597,0.882586097962052,0.7073064513147118,0.6951948280723932,OR,0.882586097962052,0.6951948280723932,28.650000000000023,0.6147903223051787
decrease_loss,0.88,0.05,0.02,0.05,0.8789083986174949,0.8883664031938845,0.7150883753745845,0.6969209405111064,OR,0.8883664031938845,0.6969209405111064,28.750000000000025,0.6316683937373563
decrease_loss,0.89,0.05,0.01,0.05,0.8888959940563301,0.8941679142255138,0.722870299434457,0.6986470529498197,OR,0.8941679142255138,0.6986470529498197,28.950000000000024,0.6488101848333231
decrease_loss,0.9,0.05,0.0,0.05,0.8988835894951652,0.9,0.7306522234943296,0.7003731653885329,OR,0.9,0.7003731653885329,29.950000000000024,0.6662515220651974
