score genuine_cdf impostor_cdf
2.4064817157 0.0285714286 0.4727272727
2.4230826679 0.0285714286 0.4738636364
2.4445589232 0.0285714286 0.4750000000
2.4552330639 0.0285714286 0.4761363636
2.4928207924 0.0306122449 0.4761363636
2.4937041090 0.0306122449 0.4772727273
2.5096704639 0.0306122449 0.4784090909
2.5184735219 0.0306122449 0.4795454545
2.5249046992 0.0306122449 0.4806818182
2.5384642871 0.0306122449 0.4818181818
2.5578715164 0.0306122449 0.4829545455
2.5623572142 0.0306122449 0.4840909091
2.5688017645 0.0306122449 0.4852272727
2.5791166538 0.0306122449 0.4863636364
2.5913033262 0.0306122449 0.4875000000
2.6546843034 0.0306122449 0.4886363636
2.6657034129 0.0306122449 0.4897727273
2.6687475407 0.0306122449 0.4909090909
2.6688941525 0.0306122449 0.4920454545
2.7077179502 0.0306122449 0.4931818182
2.7435092799 0.0306122449 0.4943181818
2.7504670996 0.0306122449 0.4954545455
2.7514463193 0.0306122449 0.4965909091
2.7548120571 0.0306122449 0.4977272727
2.7772053128 0.0306122449 0.4988636364
2.7796767360 0.0306122449 0.5000000000
2.7864938084 0.0306122449 0.5011363636
2.7958263195 0.0306122449 0.5022727273
2.8146088331 0.0306122449 0.5034090909
2.8271665246 0.0306122449 0.5045454545
2.8296245957 0.0306122449 0.5056818182
2.8467206580 0.0306122449 0.5068181818
2.8560219678 0.0306122449 0.5079545455
2.8573161485 0.0306122449 0.5090909091
2.8752569374 0.0306122449 0.5102272727
2.9169568903 0.0306122449 0.5113636364
2.9345505415 0.0306122449 0.5125000000
2.9569987092 0.0306122449 0.5136363636
2.9885867865 0.0306122449 0.5147727273
3.0093623576 0.0306122449 0.5159090909
3.0418818873 0.0306122449 0.5170454545
3.0518440091 0.0306122449 0.5181818182
3.0574422071 0.0306122449 0.5193181818
3.0611593537 0.0306122449 0.5204545455
3.0686689029 0.0306122449 0.5215909091
3.0689366829 0.0306122449 0.5227272727
3.0993543678 0.0306122449 0.5238636364
