T P_and P_or
67.900000 0.355817 0.814982
68.000000 0.354327 0.814919
68.100000 0.352835 0.814856
68.200000 0.351339 0.814793
68.300000 0.349840 0.814730
68.400000 0.348338 0.814667
68.500000 0.346833 0.814604
68.600000 0.345326 0.814540
68.700000 0.343816 0.814476
68.800000 0.342304 0.814413
68.900000 0.340791 0.814349
69.000000 0.339278 0.814285
69.100000 0.337766 0.814222
69.200000 0.336256 0.814158
69.300000 0.334748 0.814095
69.400000 0.333243 0.814031
69.500000 0.331741 0.813968
69.600000 0.330243 0.813905
69.700000 0.328749 0.813842
69.800000 0.327258 0.813779
69.900000 0.325771 0.813717
70.000000 0.324288 0.813654
70.100000 0.322809 0.813592
70.200000 0.321333 0.813530
70.300000 0.319862 0.813468
70.400000 0.318394 0.813406
70.500000 0.316930 0.813344
70.600000 0.315469 0.813283
70.700000 0.314013 0.813222
70.800000 0.312560 0.813160
70.900000 0.311111 0.813099
71.000000 0.309666 0.813039
71.100000 0.308225 0.812978
71.200000 0.306788 0.812917
71.300000 0.305354 0.812857
71.400000 0.303924 0.812797
71.500000 0.302498 0.812737
71.600000 0.301076 0.812677
71.700000 0.299657 0.812617
71.800000 0.298243 0.812558
71.900000 0.296832 0.812498
72.000000 0.295425 0.812439
72.100000 0.294022 0.812380
72.200000 0.292622 0.812321
72.300000 0.291227 0.812262
72.400000 0.289835 0.812204
72.500000 0.288447 0.812145
72.600000 0.287063 0.812087
72.700000 0.285682 0.812029
72.800000 0.284306 0.811971
72.900000 0.282933 0.811913
73.000000 0.281564 0.811855
73.100000 0.280199 0.811798
73.200000 0.278837 0.811741
73.300000 0.277480 0.811683
73.400000 0.276126 0.811626
73.500000 0.274776 0.811570
73.600000 0.273430 0.811513
73.700000 0.272087 0.811456
73.800000 0.270749 0.811400
73.900000 0.269414 0.811344
74.000000 0.268083 0.811288
74.100000 0.266756 0.811232
74.200000 0.265432 0.811176
74.300000 0.264113 0.811121
74.400000 0.262797 0.811065
74.500000 0.261485 0.811010
74.600000 0.260177 0.810955
74.700000 0.258873 0.810900
74.800000 0.257572 0.810845
74.900000 0.256275 0.810791
75.000000 0.254982 0.810736
75.100000 0.253693 0.810682
75.200000 0.252408 0.810628
75.300000 0.251126 0.810574
75.400000 0.249849 0.810520
75.500000 0.248575 0.810466
75.600000 0.247304 0.810413
75.700000 0.246038 0.810360
75.800000 0.244776 0.810306
75.900000 0.243517 0.810253
76.000000 0.242262 0.810201
76.100000 0.241011 0.810148
76.200000 0.239764 0.810095
76.300000 0.238520 0.810043
76.400000 0.237280 0.809991
76.500000 0.236044 0.809939
76.600000 0.234812 0.809887
76.700000 0.233584 0.809835
76.800000 0.232360 0.809784
76.900000 0.231139 0.809732
77.000000 0.229922 0.809681
77.100000 0.228709 0.809630
77.200000 0.227500 0.809579
77.300000 0.226294 0.809528
77.400000 0.225092 0.809478
77.500000 0.223895 0.809427
77.600000 0.222700 0.809377
77.700000 0.221510 0.809327
77.800000 0.220324 0.809277
77.900000 0.219141 0.809227
78.000000 0.217962 0.809177
78.100000 0.216787 0.809128
78.200000 0.215616 0.809079
78.300000 0.214448 0.809029
78.400000 0.213285 0.808980
78.500000 0.212125 0.808932
78.600000 0.210969 0.808883
78.700000 0.209817 0.808834
78.800000 0.208668 0.808786
78.900000 0.207524 0.808738
79.000000 0.206383 0.808690
79.100000 0.205246 0.808642
79.200000 0.204112 0.808594
79.300000 0.202983 0.808547
79.400000 0.201857 0.808499
79.500000 0.200736 0.808452
79.600000 0.199618 0.808405
79.700000 0.198503 0.808358
79.800000 0.197393 0.808311
79.900000 0.196286 0.808265
80.000000 0.195184 0.808218
80.100000 0.194085 0.808172
80.200000 0.192989 0.808126
80.300000 0.191898 0.808080
80.400000 0.190810 0.808034
80.500000 0.189727 0.807988
80.600000 0.188647 0.807943
80.700000 0.187570 0.807898
80.800000 0.186498 0.807853
80.900000 0.185429 0.807808
81.000000 0.184365 0.807763
81.100000 0.183304 0.807718
81.200000 0.182246 0.807674
81.300000 0.181193 0.807629
81.400000 0.180144 0.807585
81.500000 0.179098 0.807541
81.600000 0.178056 0.807497
81.700000 0.177018 0.807453
81.800000 0.175983 0.807410
81.900000 0.174953 0.807366
82.000000 0.173926 0.807323
82.100000 0.172903 0.807280
82.200000 0.171884 0.807237
82.300000 0.170869 0.807194
82.400000 0.169857 0.807152
82.500000 0.168849 0.807109
82.600000 0.167845 0.807067
82.700000 0.166845 0.807025
82.800000 0.165849 0.806983
82.900000 0.164856 0.806941
83.000000 0.163868 0.806900
83.100000 0.162883 0.806858
83.200000 0.161902 0.806817
83.300000 0.160924 0.806776
83.400000 0.159951 0.806735
83.500000 0.158981 0.806694
83.600000 0.158015 0.806653
83.700000 0.157053 0.806613
83.800000 0.156095 0.806572
83.900000 0.155140 0.806532
84.000000 0.154190 0.806492
84.100000 0.153243 0.806452
84.200000 0.152300 0.806413
84.300000 0.151360 0.806373
84.400000 0.150425 0.806334
84.500000 0.149493 0.806294
84.600000 0.148565 0.806255
84.700000 0.147641 0.806216
84.800000 0.146721 0.806178
84.900000 0.145804 0.806139
85.000000 0.144892 0.806101
85.100000 0.143983 0.806062
85.200000 0.143078 0.806024
85.300000 0.142177 0.805986
85.400000 0.141279 0.805949
85.500000 0.140385 0.805911
85.600000 0.139496 0.805873
85.700000 0.138610 0.805836
85.800000 0.137727 0.805799
85.900000 0.136849 0.805762
86.000000 0.135974 0.805725
86.100000 0.135103 0.805689
86.200000 0.134236 0.805652
86.300000 0.133373 0.805616
86.400000 0.132514 0.805580
86.500000 0.131658 0.805543
86.600000 0.130806 0.805508
86.700000 0.129958 0.805472
86.800000 0.129114 0.805436
86.900000 0.128274 0.805401
87.000000 0.127437 0.805366
87.100000 0.126604 0.805331
87.200000 0.125775 0.805296
87.300000 0.124950 0.805261
87.400000 0.124129 0.805226
87.500000 0.123311 0.805192
87.600000 0.122497 0.805158
87.700000 0.121687 0.805124
87.800000 0.120881 0.805090
87.900000 0.120079 0.805056
88.000000 0.119280 0.805022
88.100000 0.118485 0.804989
88.200000 0.117694 0.804956
88.300000 0.116907 0.804922
88.400000 0.116123 0.804889
88.500000 0.115343 0.804857
88.600000 0.114566 0.804824
88.700000 0.113791 0.804791
88.800000 0.113018 0.804759
88.900000 0.112245 0.804726
89.000000 0.111471 0.804694
89.100000 0.110694 0.804661
89.200000 0.109913 0.804628
89.300000 0.109127 0.804595
89.400000 0.108335 0.804561
89.500000 0.107536 0.804528
89.600000 0.106729 0.804494
89.700000 0.105915 0.804460
89.800000 0.105094 0.804425
89.900000 0.104265 0.804390
90.000000 0.103428 0.804355
90.100000 0.102584 0.804319
90.200000 0.101732 0.804283
90.300000 0.100873 0.804247
90.400000 0.100006 0.804211
90.500000 0.099131 0.804174
90.600000 0.098249 0.804137
90.700000 0.097359 0.804099
90.800000 0.096461 0.804062
90.900000 0.095556 0.804023
91.000000 0.094644 0.803985
91.100000 0.093723 0.803946
91.200000 0.092796 0.803907
91.300000 0.091860 0.803868
91.400000 0.090917 0.803828
91.500000 0.089966 0.803788
91.600000 0.089008 0.803748
91.700000 0.088042 0.803707
91.800000 0.087069 0.803666
91.900000 0.086087 0.803625
92.000000 0.085099 0.803583
92.100000 0.084102 0.803541
92.200000 0.083098 0.803499
92.300000 0.082087 0.803456
92.400000 0.081068 0.803413
92.500000 0.080041 0.803370
92.600000 0.079007 0.803327
92.700000 0.077965 0.803283
92.800000 0.076915 0.803239
92.900000 0.075858 0.803194
93.000000 0.074793 0.803149
93.100000 0.073721 0.803104
93.200000 0.072641 0.803059
93.300000 0.071553 0.803013
93.400000 0.070458 0.802967
93.500000 0.069355 0.802920
93.600000 0.068245 0.802873
93.700000 0.067127 0.802826
93.800000 0.066001 0.802779
93.900000 0.064868 0.802731
