T1 FAR1 FRR1 T2 FAR2 FRR2
-0.28819410 0.99995596 0.00000000 -0.39329665 0.99999476 0.00000000
-0.28704352 0.99995454 0.00000000 -0.39179590 0.99999456 0.00000000
-0.28589295 0.99995307 0.00000000 -0.39029515 0.99999435 0.00000000
-0.28474237 0.99995156 0.00000000 -0.38879440 0.99999413 0.00000000
-0.28359180 0.99995000 0.00000000 -0.38729365 0.99999390 0.00000000
-0.28244122 0.99994840 0.00000000 -0.38579290 0.99999366 0.00000000
-0.28129065 0.99994675 0.00000000 -0.38429215 0.99999341 0.00000000
-0.28014007 0.99994504 0.00000000 -0.38279140 0.99999316 0.00000000
-0.27898949 0.99994329 0.00000000 -0.38129065 0.99999289 0.00000000
-0.27783892 0.99994148 0.00000000 -0.37978989 0.99999262 0.00000000
-0.27668834 0.99993962 0.00000000 -0.37828914 0.99999233 0.00000000
-0.27553777 0.99993771 0.00000000 -0.37678839 0.99999204 0.00000000
-0.27438719 0.99993573 0.00000000 -0.37528764 0.99999173 0.00000000
-0.27323662 0.99993370 0.00000000 -0.37378689 0.99999141 0.00000000
-0.27208604 0.99993161 0.00000000 -0.37228614 0.99999109 0.00000000
-0.27093547 0.99992945 0.00000000 -0.37078539 0.99999074 0.00000000
-0.26978489 0.99992723 0.00000000 -0.36928464 0.99999039 0.00000000
-0.26863432 0.99992495 0.00000000 -0.36778389 0.99999003 0.00000000
-0.26748374 0.99992260 0.00000000 -0.36628314 0.99998965 0.00000000
-0.26633317 0.99992017 0.00000000 -0.36478239 0.99998925 0.00000000
-0.26518259 0.99991768 0.00000000 -0.36328164 0.99998885 0.00000000
-0.26403202 0.99991512 0.00000000 -0.36178089 0.99998842 0.00000000
-0.26288144 0.99991248 0.00000000 -0.36028014 0.99998799 0.00000000
-0.26173087 0.99990976 0.00000000 -0.35877939 0.99998754 0.00000000
-0.26058029 0.99990696 0.00000000 -0.35727864 0.99998707 0.00000000
-0.25942971 0.99990408 0.00000000 -0.35577789 0.99998658 0.00000000
-0.25827914 0.99990112 0.00000000 -0.35427714 0.99998608 0.00000000
-0.25712856 0.99989807 0.00000000 -0.35277639 0.99998556 0.00000000
-0.25597799 0.99989494 0.00000000 -0.35127564 0.99998502 0.00000000
-0.25482741 0.99989171 0.00000000 -0.34977489 0.99998446 0.00000000
-0.25367684 0.99988839 0.00000000 -0.34827414 0.99998388 0.00000000
-0.25252626 0.99988498 0.00000000 -0.34677339 0.99998328 0.00000000
-0.25137569 0.99988146 0.00000000 -0.34527264 0.99998267 0.00000000
-0.25022511 0.99987785 0.00000000 -0.34377189 0.99998202 0.00000000
-0.24907454 0.99987414 0.00000000 -0.34227114 0.99998136 0.00000000
-0.24792396 0.99987032 0.00000000 -0.34077039 0.99998067 0.00000000
-0.24677339 0.99986639 0.00000000 -0.33926963 0.99997996 0.00000000
-0.24562281 0.99986234 0.00000000 -0.33776888 0.99997923 0.00000000
-0.24447224 0.99985819 0.00000000 -0.33626813 0.99997847 0.00000000
-0.24332166 0.99985391 0.00000000 -0.33476738 0.99997768 0.00000000
-0.24217109 0.99984952 0.00000000 -0.33326663 0.99997686 0.00000000
-0.24102051 0.99984500 0.00000000 -0.33176588 0.99997602 0.00000000
-0.23986993 0.99984036 0.00000000 -0.33026513 0.99997515 0.00000000
-0.23871936 0.99983559 0.00000000 -0.32876438 0.99997425 0.00000000
-0.23756878 0.99983068 0.00000000 -0.32726363 0.99997331 0.00000000
-0.23641821 0.99982564 0.00000000 -0.32576288 0.99997235 0.00000000
-0.23526763 0.99982045 0.00000000 -0.32426213 0.99997135 0.00000000
-0.23411706 0.99981512 0.00000000 -0.32276138 0.99997032 0.00000000
-0.23296648 0.99980965 0.00000000 -0.32126063 0.99996925 0.00000000
-0.23181591 0.99980402 0.00000000 -0.31975988 0.99996815 0.00000000
-0.23066533 0.99979824 0.00000000 -0.31825913 0.99996701 0.00000000
-0.22951476 0.99979230 0.00000000 -0.31675838 0.99996583 0.00000000
-0.22836418 0.99978619 0.00000000 -0.31525763 0.99996461 0.00000000
-0.22721361 0.99977992 0.00000000 -0.31375688 0.99996335 0.00000000
