x user attacker FAR FRR threshold
0.2733 0.0010 2.2226 0.0000 0.0010 0.5000
0.2743 0.0011 2.2292 0.0000 0.0011 0.5000
0.2753 0.0011 2.2358 0.0000 0.0011 0.5000
0.2763 0.0012 2.2423 0.0000 0.0012 0.5000
0.2773 0.0012 2.2487 0.0000 0.0012 0.5000
0.2783 0.0012 2.2551 0.0000 0.0012 0.5000
0.2793 0.0013 2.2613 0.0000 0.0013 0.5000
0.2803 0.0014 2.2676 0.0000 0.0014 0.5000
0.2813 0.0014 2.2737 0.0000 0.0014 0.5000
0.2823 0.0015 2.2798 0.0000 0.0015 0.5000
0.2833 0.0015 2.2858 0.0000 0.0015 0.5000
0.2843 0.0016 2.2917 0.0000 0.0016 0.5000
0.2853 0.0017 2.2976 0.0000 0.0017 0.5000
0.2863 0.0017 2.3033 0.0000 0.0017 0.5000
0.2873 0.0018 2.3090 0.0000 0.0018 0.5000
0.2883 0.0019 2.3147 0.0000 0.0019 0.5000
0.2893 0.0019 2.3202 0.0000 0.0019 0.5000
0.2903 0.0020 2.3257 0.0000 0.0020 0.5000
0.2913 0.0021 2.3311 0.0000 0.0021 0.5000
0.2923 0.0022 2.3364 0.0000 0.0022 0.5000
0.2933 0.0023 2.3416 0.0000 0.0023 0.5000
0.2943 0.0023 2.3468 0.0000 0.0023 0.5000
0.2953 0.0024 2.3518 0.0000 0.0024 0.5000
0.2963 0.0025 2.3568 0.0000 0.0025 0.5000
0.2973 0.0026 2.3617 0.0000 0.0026 0.5000
0.2983 0.0027 2.3666 0.0000 0.0027 0.5000
0.2993 0.0028 2.3713 0.0000 0.0028 0.5000
0.3003 0.0030 2.3760 0.0000 0.0030 0.5000
0.3013 0.0031 2.3805 0.0000 0.0031 0.5000
0.3023 0.0032 2.3850 0.0000 0.0032 0.5000
0.3033 0.0033 2.3894 0.0000 0.0033 0.5000
0.3043 0.0034 2.3937 0.0000 0.0034 0.5000
0.3053 0.0036 2.3980 0.0000 0.0036 0.5000
0.3063 0.0037 2.4021 0.0000 0.0037 0.5000
0.3073 0.0038 2.4062 0.0000 0.0038 0.5000
0.3083 0.0040 2.4102 0.0000 0.0040 0.5000
0.3093 0.0041 2.4140 0.0000 0.0041 0.5000
0.3103 0.0043 2.4178 0.0000 0.0043 0.5000
0.3113 0.0045 2.4216 0.0000 0.0045 0.5000
0.3123 0.0046 2.4252 0.0000 0.0046 0.5000
0.3133 0.0048 2.4287 0.0000 0.0048 0.5000
0.3143 0.0050 2.4321 0.0000 0.0050 0.5000
0.3153 0.0052 2.4355 0.0000 0.0052 0.5000
0.3163 0.0054 2.4387 0.0000 0.0054 0.5000
0.3173 0.0056 2.4419 0.0000 0.0056 0.5000
0.3183 0.0058 2.4450 0.0000 0.0058 0.5000
0.3193 0.0060 2.4480 0.0000 0.0060 0.5000
0.3203 0.0062 2.4509 0.0000 0.0062 0.5000
0.3213 0.0064 2.4537 0.0000 0.0064 0.5000
0.3223 0.0067 2.4564 0.0000 0.0067 0.5000
0.3233 0.0069 2.4590 0.0000 0.0069 0.5000
0.3243 0.0071 2.4615 0.0000 0.0071 0.5000
0.3253 0.0074 2.4639 0.0000 0.0074 0.5000
0.3263 0.0077 2.4662 0.0000 0.0077 0.5000
0.3273 0.0079 2.4685 0.0000 0.0079 0.5000
0.3283 0.0082 2.4706 0.0000 0.0082 0.5000
0.3293 0.0085 2.4727 0.0000 0.0085 0.5000
0.3303 0.0088 2.4746 0.0000 0.0088 0.5000
0.3313 0.0091 2.4765 0.0000 0.0091 0.5000
0.3323 0.0095 2.4782 0.0000 0.0095 0.5000
0.3333 0.0098 2.4799 0.0000 0.0098 0.5000
0.3343 0.0101 2.4815 0.0000 0.0101 0.5000
0.3353 0.0105 2.4829 0.0000 0.0105 0.5000
0.3363 0.0109 2.4843 0.0000 0.0109 0.5000
0.3373 0.0113 2.4856 0.0000 0.0113 0.5000
0.3383 0.0116 2.4868 0.0000 0.0116 0.5000
0.3393 0.0120 2.4879 0.0000 0.0120 0.5000
0.3403 0.0125 2.4888 0.0000 0.0125 0.5000
0.3413 0.0129 2.4897 0.0000 0.0129 0.5000
0.3423 0.0133 2.4905 0.0000 0.0133 0.5000
0.3433 0.0138 2.4912 0.0000 0.0138 0.5000
0.3443 0.0143 2.4918 0.0000 0.0143 0.5000
0.3453 0.0148 2.4923 0.0000 0.0148 0.5000
0.3463 0.0153 2.4927 0.0000 0.0153 0.5000
0.3473 0.0158 2.4930 0.0000 0.0158 0.5000
0.3483 0.0163 2.4933 0.0000 0.0163 0.5000
0.3493 0.0169 2.4934 0.0000 0.0169 0.5000
0.3504 0.0174 2.4934 0.0000 0.0174 0.5000
0.3514 0.0180 2.4933 0.0000 0.0180 0.5000
0.3524 0.0186 2.4931 0.0000 0.0186 0.5000
0.3534 0.0192 2.4928 0.0000 0.0192 0.5000
0.3544 0.0199 2.4925 0.0000 0.0199 0.5000
0.3554 0.0205 2.4920 0.0000 0.0205 0.5000
0.3564 0.0212 2.4914 0.0000 0.0212 0.5000
0.3574 0.0219 2.4908 0.0000 0.0219 0.5000
0.3584 0.0226 2.4900 0.0000 0.0226 0.5000
0.3594 0.0234 2.4891 0.0000 0.0234 0.5000
0.3604 0.0241 2.4882 0.0000 0.0241 0.5000
0.3614 0.0249 2.4871 0.0000 0.0249 0.5000
0.3624 0.0257 2.4860 0.0000 0.0257 0.5000
