T P_and P_or
86.400000 0.069404 0.758165
86.500000 0.068844 0.758099
86.600000 0.068285 0.758033
86.700000 0.067725 0.757968
86.800000 0.067166 0.757902
86.900000 0.066606 0.757836
87.000000 0.066046 0.757770
87.100000 0.065487 0.757704
87.200000 0.064927 0.757639
87.300000 0.064368 0.757573
87.400000 0.063808 0.757507
87.500000 0.063249 0.757441
87.600000 0.062689 0.757375
87.700000 0.062129 0.757309
87.800000 0.061570 0.757244
87.900000 0.061010 0.757178
88.000000 0.060451 0.757112
88.100000 0.059891 0.757046
88.200000 0.059332 0.756980
88.300000 0.058772 0.756914
88.400000 0.058212 0.756849
88.500000 0.057653 0.756783
88.600000 0.057093 0.756717
88.700000 0.056534 0.756651
88.800000 0.055974 0.756585
88.900000 0.055415 0.756519
89.000000 0.054855 0.756454
89.100000 0.054295 0.756388
89.200000 0.053736 0.756322
89.300000 0.053176 0.756256
89.400000 0.052617 0.756190
89.500000 0.052057 0.756124
89.600000 0.051498 0.756059
89.700000 0.050938 0.755993
89.800000 0.050379 0.755927
89.900000 0.049819 0.755861
90.000000 0.049259 0.755795
90.100000 0.048700 0.755729
90.200000 0.048140 0.755664
90.300000 0.047581 0.755598
90.400000 0.047021 0.755532
90.500000 0.046462 0.755466
90.600000 0.045902 0.755400
90.700000 0.045342 0.755334
90.800000 0.044783 0.755269
90.900000 0.044223 0.755203
91.000000 0.043664 0.755137
91.100000 0.043104 0.755071
91.200000 0.042545 0.755005
91.300000 0.041985 0.754939
91.400000 0.041425 0.754874
91.500000 0.040866 0.754808
91.600000 0.040306 0.754742
91.700000 0.039747 0.754676
91.800000 0.039187 0.754610
91.900000 0.038628 0.754544
92.000000 0.038068 0.754479
92.100000 0.037508 0.754413
92.200000 0.036949 0.754347
92.300000 0.036389 0.754281
92.400000 0.035830 0.754215
92.500000 0.035270 0.754149
92.600000 0.034711 0.754084
92.700000 0.034151 0.754018
92.800000 0.033592 0.753952
92.900000 0.033032 0.753886
93.000000 0.032472 0.753820
93.100000 0.031913 0.753754
93.200000 0.031353 0.753689
93.300000 0.030794 0.753623
93.400000 0.030234 0.753557
93.500000 0.029675 0.753491
93.600000 0.029115 0.753425
93.700000 0.028555 0.753359
93.800000 0.027996 0.753294
93.900000 0.027436 0.753228
